Area Name,Area Type,Year,Labor Force,Employment,Unemployment,Unemployment Rate,Average Monthly Employment,Total Wages (All Workers),Average Weekly Wages,Establishments,Total Expenditures,Estimated Population,Expenditures Per Capita
Mariposa County,County,2010.0,8720.0,7560.0,1160.0,13.3,286.15,3583337.09,661.16,24.38,57650698.0,18192.0,3169.0
Mendocino County,County,2010.0,41610.0,36680.0,4940.0,11.9,377.49,4906307.02,650.43,52.03,195011288.0,90289.0,2160.0
Merced County,County,2010.0,113900.0,93000.0,20900.0,18.4,872.27,11746508.89,617.47,73.63,383996571.0,258495.0,1486.0
Modoc County,County,2010.0,3820.0,3230.0,590.0,15.5,126.89,1656005.48,609.11,19.25,43003201.0,9777.0,4398.0
Mono County,County,2010.0,8890.0,7960.0,930.0,10.4,284.09,3444625.92,724.99,24.52,58926582.0,13617.0,4327.0
Monterey County,County,2010.0,216000.0,187900.0,28200.0,13.0,1377.13,21622119.05,853.75,108.25,778942895.0,435878.0,1787.0
Napa County,County,2010.0,70200.0,62800.0,7400.0,10.6,804.87,14155916.76,847.3,66.69,228294070.0,138917.0,1643.0
Nevada County,County,2010.0,48940.0,43070.0,5870.0,12.0,374.85,5712929.21,699.32,51.28,143845893.0,98680.0,1458.0
Orange County,County,2010.0,1537700.0,1383900.0,153800.0,10.0,6543.43,137937022.13,1028.94,480.72,3007166924.0,3166461.0,950.0
Placer County,County,2010.0,173400.0,152800.0,20600.0,11.9,1116.76,19746808.46,851.42,100.37,512384751.0,347102.0,1476.0
Plumas County,County,2010.0,9170.0,7460.0,1710.0,18.7,177.86,2500512.48,555.6,26.74,52069533.0,20428.0,2549.0
Riverside County,County,2010.0,977800.0,839100.0,138600.0,14.2,3077.25,46030520.54,783.38,260.05,3232475481.0,2139535.0,1511.0
Sacramento County,County,2010.0,683800.0,595500.0,88400.0,12.9,3501.53,71575562.22,929.99,284.52,2370413029.0,1445327.0,1640.0
San Benito County,County,2010.0,28000.0,23600.0,4300.0,15.5,298.67,4194813.14,670.54,35.03,78449387.0,58388.0,1344.0
San Bernardino County,County,2010.0,891400.0,767900.0,123500.0,13.9,3200.16,50936506.13,798.06,228.15,2864224734.0,2073149.0,1382.0
San Diego County,County,2010.0,1515900.0,1348800.0,167000.0,11.0,5993.61,120806531.86,960.13,474.55,3493697627.0,3224432.0,1084.0
San Francisco County,County,2010.0,485800.0,441600.0,44200.0,9.1,3460.06,104643643.92,1289.09,361.95,2420077983.4,1307601.78,4678.16
San Joaquin County,County,2010.0,312100.0,259300.0,52800.0,16.9,1588.04,25026697.71,801.04,123.37,1054635741.0,694293.0,1519.0
San Luis Obispo County,County,2010.0,133600.0,119900.0,13700.0,10.2,877.45,13082691.38,740.5,87.54,426115728.0,273231.0,1560.0
San Mateo County,County,2010.0,392900.0,359200.0,33600.0,8.6,2197.73,64202261.91,1185.81,168.19,1134440062.0,754285.0,1504.0
Santa Barbara County,County,2010.0,212300.0,191200.0,21100.0,9.9,1261.73,21872234.94,891.44,108.29,709798271.0,434481.0,1634.0
Santa Clara County,County,2010.0,926900.0,828000.0,98900.0,10.7,4958.26,177604793.82,1206.66,360.25,3440872808.0,1880876.0,1829.0
Santa Cruz County,County,2010.0,141900.0,122600.0,19300.0,13.6,846.91,13501389.97,837.17,90.85,370484098.0,272201.0,1361.0
Shasta County,County,2010.0,78700.0,65200.0,13500.0,17.2,624.84,8836371.25,703.8,67.73,254989970.0,184247.0,1384.0
Sierra County,County,2010.0,1610.0,1360.0,250.0,15.7,55.96,722281.56,571.06,12.04,20558542.0,3303.0,6224.0
Siskiyou County,County,2010.0,19670.0,16280.0,3390.0,17.2,267.57,3396827.53,563.83,37.35,100956676.0,46010.0,2194.0
Solano County,County,2010.0,202500.0,176500.0,26000.0,12.8,1025.06,18565178.56,822.89,79.49,603235623.0,427837.0,1410.0
Sonoma County,County,2010.0,244600.0,217500.0,27100.0,11.1,1250.16,21826941.79,881.73,137.02,794300851.0,493285.0,1610.0
Stanislaus County,County,2010.0,243800.0,201700.0,42200.0,17.3,1322.44,20211512.04,733.06,112.29,731145760.0,530584.0,1378.0
Sutter County,County,2010.0,46100.0,37400.0,8700.0,18.8,468.16,6235526.08,693.76,54.09,135542911.0,99154.0,1367.0
